;data_aplicacao_vacina;TOTAL_DOSES;1DOSE;2DOSE;DOSE_UNI;DOSE_ADC;PFIZER;ASTRAZENECA_FIOCRUZ;SINOVAC_BUTANTAN;JANSSEN;FEMININO;MASCULINO;BRANCA;PRETA;PARDA;AMARELA;SEM INFORMACAO;menos 19 anos;20 a 39 anos;40 a 59 anos;60 a 79 anos;mais 80 anos
96;2021-04-22;4603;395;4208;0;0;0;362;4241;0;2653;1950;2785;97;102;63;1555;12;454;256;3845;36
97;2021-04-23;1157;520;637;0;0;0;542;615;0;708;449;665;37;39;30;385;10;241;175;698;33
98;2021-04-24;3837;3630;207;0;0;0;3627;210;0;2143;1694;2272;93;99;53;1320;0;45;43;3743;6
99;2021-04-25;48;29;19;0;0;0;27;21;0;27;21;24;0;3;0;21;0;4;3;41;0
100;2021-04-26;2525;514;2011;0;0;0;1773;752;0;1728;797;1682;115;82;42;604;12;754;804;892;63
101;2021-04-27;1040;329;711;0;0;0;804;236;0;638;402;581;41;45;20;353;2;311;308;413;6
102;2021-04-28;808;266;542;0;0;0;670;138;0;543;265;488;34;32;20;232;4;234;255;297;18
103;2021-04-29;629;271;358;0;0;0;521;108;0;380;249;375;17;17;23;196;3;137;183;295;11
104;2021-04-30;708;232;476;0;0;0;434;274;0;463;245;439;25;25;15;203;5;200;163;328;12
105;2021-05-01;3487;3433;54;0;0;0;3443;44;0;2041;1446;2115;92;70;42;1167;0;32;22;3427;6
106;2021-05-02;3474;3437;37;0;0;0;3441;33;0;1951;1523;2095;106;55;40;1178;0;6;9;3455;4
107;2021-05-03;995;530;465;0;0;0;668;327;0;566;429;564;41;27;23;339;6;207;163;606;13
108;2021-05-04;1135;882;253;0;0;586;390;159;0;652;483;610;16;32;25;452;8;156;154;810;7
109;2021-05-05;1462;1256;206;0;0;962;345;155;0;832;630;838;50;46;22;506;5;144;151;1142;20
110;2021-05-06;4531;4380;151;0;0;1570;2868;93;0;2967;1564;2730;81;79;52;1585;10;1614;1245;1653;9
111;2021-05-07;3388;3164;224;0;0;2323;938;127;0;1938;1450;2054;92;84;43;1112;14;631;481;2245;17
112;2021-05-08;1758;1649;109;0;0;47;1605;106;0;997;761;1084;52;39;25;557;3;173;1178;401;3
113;2021-05-09;21;18;3;0;0;2;16;3;0;13;8;9;0;2;1;9;0;9;9;3;0
114;2021-05-10;2730;2519;211;0;0;277;2277;176;0;1491;1239;1664;81;76;38;871;5;294;2103;325;3
115;2021-05-11;2298;2033;265;0;0;1814;273;211;0;1431;867;1427;73;67;29;702;6;507;1423;344;18
116;2021-05-12;1607;1437;170;0;0;1205;295;107;0;909;698;964;64;54;27;498;3;192;1204;202;6
117;2021-05-13;1397;1252;145;0;0;1129;182;86;0;805;592;844;60;35;22;436;1;181;1008;199;8
118;2021-05-14;4223;4002;221;0;0;3855;184;184;0;2196;2027;2600;150;110;59;1303;6;843;3119;248;7
119;2021-05-15;2920;2842;77;0;1;2045;817;58;0;1500;1420;1918;105;82;59;755;69;1228;1433;185;5
120;2021-05-16;56;42;14;0;0;2;42;12;0;31;25;33;3;2;3;15;2;23;19;12;0
121;2021-05-17;1587;1448;139;0;0;526;953;108;0;817;770;997;61;41;40;447;30;644;742;155;16
122;2021-05-18;1828;1685;143;0;0;674;1050;104;0;951;877;1164;78;71;38;476;34;697;919;157;21
123;2021-05-19;1769;1650;119;0;0;157;1541;71;0;988;781;1079;84;65;46;494;34;657;916;151;11
124;2021-05-20;1567;1410;157;0;0;106;1329;132;0;800;767;936;69;52;32;478;24;633;760;138;12
